Question,QuestionType,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answer,Overall Explanation,Domain
Which of the following functions are controlled by the delivery type? (There are two correct answers.),multi-select,A. The delivery is relevant for picking., ,B. A credit limit check must be performed., ,C. A sales order is required as a basis for delivery., ,D. The rule for determining the storage location for picking., , , , , ,3*4, The Order Required field in the definition of the delivery type controls whether a preceding document is required and  if so  the type of preceding document. When configuring the delivery type  you can also use the Storage Location Rule field to specify how the system determines the picking location when a delivery is created if a storage location has not been maintained in the sales order item. These two fields are shown earlier in Figure 10.2. Picking relevance is defined at the delivery item level  and the credit management functions are activated for the sales document item category; thus  both A and B are incorrect answers., 
True or False: Item category determination is not carried out if the outbound delivery is created with reference to a sales order.,multi-select,A. True, ,B. False Correct Answer:A Explanation: True. When an outbound delivery is created with reference to a sales order  the item category in the sales order item is automatically copied into the corresponding delivery item. No item category determination is carried out for the delivery item in this scenario. Question A customer requests that two orders be combined into a single delivery. Which of the following sales order fields must have the same value to fulfill the criteria for order combination? (There are three correct answers.) A. Storage location B. Route, ,C. Incoterms, ,D. Ship-to party, ,E. Division, , , ,2*3*4, The three fields that must have the same value in the sales document items to meet the criteria for order combination are the route  the Incoterms  and the ship-to party. These three fields are found in the delivery header  so inconsistent values in any of these fields would automatically result in a delivery split. Storage location and division are  however  part of the delivery item data., 
True or False: If needed  you can manually override both the route and/or the shipping point determined by the system in the delivery.,multi-select,A. True, ,B. False Correct Answer:B Explanation: False. In a delivery document  you can manually override the route but not the shipping point. The shipping point is not an editable field in any delivery document. Question Which of the following are characteristics of the route determination functionality in SAP S/4HANA? (There are three correct answers.) A. The system prompts you to redetermine the route for each item if the ship-to party changes in the order. B. The system prompts you to redetermine the route for each item if the shipping condition changes in the order., ,C. The system prompts you to redetermine the route for the item if the quantity changes in the order., ,D. The delivery item category controls whether the route must be redetermined when an outbound delivery is created., ,E. Route determination can be carried out with or without weight group., , , ,1*2*5, The country and transportation zone of the ship-to party and the shipping condition are factors that influence the route determination  so if either the ship-to party or the shipping condition in the order changes  the system will ask you whether you want to redetermine routes and shipping for all items. Route determination can also be carried out with or without considering the weight group but depends on which document is used as the base to determine the route. If the route is determined in the sales order  the weight group is not taken into account (shown earlier in Figure 10.8). Whereas if the route is determined in the delivery  the weight group is part of the search criteria (shown earlier in Figure 10.9)., 
Which of the following factors is a prerequisite for the automatic determination of the picking location in the delivery item? (There are two correct answers.),multi-select,A. A picking rule has been assigned to the delivery type., ,B. The automatic determination of storage location has been activated for the delivery type., ,C. The delivery item category must be relevant for picking., ,D. The storage location has been assigned to a warehouse number., , , , , ,1*3, To activate the automatic determination of the picking location in the delivery document  you must assign a picking rule (e.g.  MALA) in the definition of the delivery type and configure the delivery item category as relevant for picking. Answer B is incorrect since the Determine Storage Location checkbox is not maintained for the delivery type but instead defined in the delivery item category. Answer D is also wrong since the assignment of a storage location to a warehouse number does not affect the determination of the picking location., 
Which of the following elements can be used to determine the loading time in delivery scheduling? (There are three correct answers.),multi-select,A. Transportation group, ,B. Route, ,C. Weight group, ,D. Loading group, ,E. Shipping point, , , ,2*4*5, As shown earlier in Figure 10.11  the determination of the loading time in delivery scheduling can be influenced by the shipping point  the route  and the loading group. The transportation group and the weight group are two factors that are never part of the search criteria to determine the loading time., 
During backward scheduling  which of the following times are always determined using the route? (There are two correct answers.),multi-select,A. Transit time, ,B. Total replenishment lead time, ,C. Loading time, ,D. Transportation lead time, , , , , ,1*4, The total replenishment lead time is maintained in the material master record (MRP 3 view) and is thus not influenced by the route  so answer B is incorrect. The loading time can be determined using the route (route-dependent loading time) or without the route (route-independent loading time) depending on the option selected in the Determine Loading Time field for the shipping point  as shown earlier in Figure 10.15. Therefore  answer C is not correct  thus leaving only answers A and D as the only two correct answers. Both the transportation lead time and the transit time are specified in the definition of the route  as shown earlier in Figure 10.7., 
Which of the following functions are carried out on the basis of the goods issue document? (There are two correct answers.),multi-select,A. Overall status for picking is updated., ,B. The document flow is updated., ,C. The warehouse or plant stock is increased by the delivery quantity., ,D. Delivery requirements in materials planning are reduced by the delivery quantity, , , , , ,2*4, The overall picking status is updated when the picking is carried out and not at post goods issue; thus  answer A is not correct. Once the goods issue is posted for a delivery  the plant stock is decreased by the delivery quantity. By definition  performing the post goods issue cannot increase the plant stock  which invalidates answer C. Posting a goods issue causes the system to update the document flow and reduce delivery requirements in materials planning  among other functions. Therefore  answers B and D are the only two correct answers to this question., 
Which of the following are characteristics of the billing document in SAP S/4HANA? (There are two correct answers.),multi-select,A. It contains data at the item level., ,B. It contains data at the schedule line level., ,C. It can be created without reference to a preceding document., ,D. The billing date is only found in the document’s header., , , , , ,1*4, All billing documents must always be created with reference to a preceding document  which can be either a sales document  delivery  or another billing document. Therefore  answer C is not correct. Also  the structure of a billing document matches the structure of the delivery document since it only contains data at the header and item level. No schedule lines exist in a billing document since the goods have been delivered and/or the services provided by the time the billing document is created. Thus  answer B is invalid  which leaves you with answers A and D as the only two correct answers to this question., 
True or False. You cannot assign an external number range to a billing document.,multi-select,A. True, ,B. False Correct Answer:A Explanation: True. As shown earlier in Figure 11.3  you can only define an internal number range for billing documents. External number ranges are not allowed to ensure the billing document numbers are unique and consecutive. Question Which of the following customizing activities for billing documents are available in the IMG menu? (There are three correct answers.) A. Define billing item categories B. Define billing types, ,C. Define item category determination in billing documents, ,D. Assign invoice list type to each billing type, ,E. Maintain copying control for billing documents, , , ,2*4*5, In SAP S/4HANA  all billing documents are created with reference  and the item category in the preceding document is always copied into the billing document item. As a result  no item category determination is carried out during billing; therefore  you won’t find customizing tasks to define or assign item categories for billing documents in the IMG menu. Thus  both answers A and C are invalid  leaving you with answers B  D  and E as the only three correct answers to this question., 
Which of the following parameters are available when configuring billing document types in SAP S/4HANA? (There are three correct answers.),multi-select,A. Transaction group, ,B. Incompleteness procedure, ,C. Billing type for cancellation, ,D. Posting block, ,E. Billing block, , , ,1*3*4, As shown earlier in Figure 11.3  for a given billing document type  you can maintain a transaction group  maintain a billing type for cancellation  and activate a posting block  among other parameters. These three settings are mentioned in answers A  C  and D  respectively. You cannot define an incompleteness procedure or a billing block for billing document types  so answers B and E are both incorrect., 
True or False. At the time of billing document creation  the billing type is always defaulted based on the billing type associated with a specific sales document type and cannot be manually changed.,multi-select,A. True, ,B. False Correct Answer:B Explanation: False. The system automatically proposes a billing type based on the default billing type assigned to the reference document. However  if needed  you can manually change the proposed billing type to another valid billing type. The billing document types allowed are defined in the copy control from sales documents and delivery documents to billing documents. For example  for a given delivery document type LF  you can create a customer invoice (billing type F2) or a pro forma invoice (billing type F8). Question Which of the following are valid document flows when creating a billing document? (There are two correct answers.) A. Invoice → Delivery → Debit memo B. Credit memo request → Credit memo → Invoice, ,C. Order → Invoice → Credit memo, ,D. Delivery → Invoice, , , , , ,3*4, Answer A is not correct because you cannot create a delivery with reference to an invoice; in fact  the opposite is true. Also  debit memos are created with reference to debit memo requests and not from a delivery document. Regarding answer B  you cannot create a customer invoice from a credit memo in the standard system. Therefore  answer B is also incorrect  which leaves you with answers C and D as the only two valid document flows out of the four options provided., 
Which of the following are characteristics of the SAP GUI Transaction VF04 or the equivalent SAP Fiori app Create Billing Documents – VF04? (There are two correct answers.),multi-select,A. You can display a detailed log for the collective run., ,B. You can process the billing due list as a simulation “trial run.”, ,C. You can switch on/off the billing setting Automatically post billing documents., ,D. It is not possible to perform a split analysis., , , , , ,1*2, In Transaction VF40 or the Create Billing Documents – VF04 app  you can generate multiple billing documents by processing the billing due list. In this transaction  you can display a detailed log for the collective run as well as process the billing due list in simulation mode. So  answers A and B are both correct. You can also perform a split analysis  as shown earlier in Figure 11.14 which invalidates answer D. Finally  answer C is also incorrect since the billing setting Automatically post billing documents is available in the Create Billing Documents app but not in Transaction VF04 or in the Create Billing Documents – VF04 app., 
In terms of billing split or convergence  which of the following variables can influence the outcome of a collective billing run when processing multiple billable reference documents? (There are two correct answers.),multi-select,A. Discrepancies in split-relevant fields at the header or item level, ,B. A custom pricing requirement assigned to condition PPR0, ,C. The billing setting Automatically post billing documents in the Create Billing Documents app, ,D. A custom data transfer routine in the copying control for billing documents, , , , , ,1*4, Answer A is correct because any discrepancies in split-relevant fields at the header or item level will obviously cause an invoice split. We also mentioned that you can use the data transfer routine VBRK/VBRP in the copy control for billing documents to implement additional split criteria based on your customer requirements. For example  your company may want to split an invoice if the ship-to party in two or more reference documents differs. This scenario is not supported by the standard configuration  but it can be achieved via custom data transfer routines in the copying control. Answer D is  therefore  the second of the only two correct answers to this question., 
True or False: During collective billing  different customer reference numbers (field VBKD-BSTKD) in two sales orders always cause a billing document split  despite all the other splitrelevant fields having identical values.,multi-select,A. True, ,B. False Correct Answer:B Explanation: False. As mentioned in this chapter  the customer reference number is stored in field VBKD-BSTKD in the sales document and field VBRK-BSTNK_VF in the billing document. This field constitutes a special case and does not always cause a billing document split  which is the reason why it has not been included in the list of fields that form the standard split criteria shown earlier in Table 11.5. The customer reference number will cause a billing document split only if you maintain the Reference Number parameter with value A in the copy control for billing documents at the header level. But if the Reference Number parameter is blank in the copy control for billing documents  you can combine two sales documents with two different customer reference numbers (field VBKD-BSTKD) in one billing document since the field VBRK-BSTNK_VF will be blank. Question Which standard fields always cause a billing document split when populated with differing values? (There are two correct answers.) A. Distribution channel B. Bill-to party, ,C. Total net value, ,D. Ship-to party, , , , , ,1*2, As shown earlier in Table 11.5  both the distribution channel and the bill-to party are part of the standard split criteria  which means that if the values between two or more reference documents differ  they always cause a billing document split. We strongly recommend you familiarize yourself with the list of fields that form the standard split criteria. Answers A and B are  therefore  the only two correct answers to this question., 
Which of the following statements regarding preliminary billing documents are true? (There are three correct answers.),multi-select,A. They can be changed as often as necessary., ,B. To use them  you need to activate the corresponding business function in customizing., ,C. They are available from SAP S/4HANA 1909., ,D. They can be posted to financial accounting., ,E. A preliminary billing document is an optional predecessor to the final billing document., , , ,1*2*5, Preliminary billing documents are a new function available SAP S/4HANA 2020 (software component S4CORE from release 105); thus  answer C is incorrect. Also  as discussed earlier  preliminary billing documents are optional documents that are not relevant for posting to financial accounting. Thus  answer D is invalid  which leaves you with answers A  B  and E as the only three correct answers to this question., 
You’ve been asked to set up the system so that invoices are created based on the completion of specific stages of a project. Which functionality supports this business requirement?,multiple-choice,A. Preliminary billing documents, ,B. Milestone billing plans, ,C. Periodic billing plans, ,D. Invoice lists, , , , , ,2, The milestone billing plan is the functionality available in the standard system for managing the creation of billing documents based on milestones that mark the completion of specific stages of a project., 
True or False. SAP S/4HANA allows you to process down payments on the basis of either periodic or milestone billing plans in sales orders.,multi-select,A. True, ,B. False Correct Answer:B Explanation: False. In SAP S/4HANA  down payments can only be processed on the basis of either milestone billing plans or document conditions in sales orders. You cannot process down payments with periodic billing plans. Question Which of the following are characteristics of an invoice list in the standard system? (There are two correct answers.) A. It can contain single or collective billing documents. B. A single invoice list can contain invoices  credit memos  and debit memos., ,C. It only contains billing documents with a common bill-to party., ,D. It only contains billing documents that have already been released to financial accounting., , , , , ,1*4, In the standard system  invoice lists for credit memos use billing type LG  whereas invoice lists for invoices and debit memos use billing type LR. As a result  invoices  debit memos  and credit memos cannot be combined in the same invoice list since the invoice list types are different. Thus  answer B is invalid. Answer C is also incorrect since you can combine several billing documents with different bill-to parties in the same invoice list  as long as they all have the same payer. Therefore  answers A and D are the only two correct answers to this question., 
Which of the following parameters are used by the system to perform account determination when a billing document is transferred to financial accounting? (There are three correct answers.),multi-select,A. Account assignment group of the ship-to party, ,B. Account key, ,C. Sales organization, ,D. Profit center in the material master record, ,E. Account assignment group of the material, , , ,2*3*5, The account key  sales organization  and account assignment group of the material are three of the billing document-related parameters used by the system to determine the correct general ledger accounts and create the journal entry. Thus  answers B  C  and E are all correct answers. The account assignment group of the payer is also used in account determination but not the account assignment group of the ship-to party. Finally  the profit center in the material master record is not a parameter used in account determination either. Therefore  answers A and D are both incorrect answers., 
Which of the following is the purpose of the simplification list?,multiple-choice,A. To show a list of transactions that are no longer used, ,B. To show a list of tasks needed for conversion from SAP ERP 6.0 to SAP S/4HANA, ,C. To show a list of technical and business impacts that can be expected with an upgrade to that specific version of SAP S/4HANA, ,D. To run a consistency check to run against your existing system to see what needs to change before upgrading to SAP S/4HANA., , , , , ,3, The simplification list is designed to identify specific impacts when upgrading to that version of SAP S/4HANA. These impacts can be business or technical  both of which are highlighted within the list. The simplification list is not designed to give you advice on conversion activities or how to run consistency checks for the purposes of conversion  although these tasks are mentioned where appropriate. Furthermore  the simplification list will not show you the transactions that have been made obsolete in SAP S/4HANA. Information is available in the SAP library for these requirements but is not included in the simplification list., 
Which of the following are simplification items that should be considered when moving to an SAP S/4HANA environment from an SAP ERP 6.0 environment? (There are three correct answers.),multi-select,A. The SAP ERP SD foreign trade functionality has now been absorbed into the Materials Management (MM) module., ,B. SD rebates have been replaced by settlement management., ,C. Output management in SAP S/4HANA Sales is performed  by default  via BRFplus instead of the previous NAST-based approach., ,D. The ATP check has been enriched in SAP S/4HANA to include SAP S/4HANA for advanced ATP capabilities., ,E. The standard sales tables VBAK and VBAP do not need to be used anymore in SAP S/4HANA., , , ,2*3*4, Understanding simplification items is important. From the list given  the only correct answers are that SD rebates have been replaced by settlement management  output management is now handled by default by BRFplus  and the ATP check can now include advanced ATP. The answer options illustrate the need to read a question thoroughly before answering. For example  answer E mentions the standard tables VBAK and VBAP as not being used anymore—this statement is correct if we’re talking about tables VBUK and VBUP  but not tables VBAK and VBAP!, 
Your client asks you why they should implement business partners in their SAP S/4HANA project. Which of the following statements would you mention? (There are three correct answers.),multi-select,A. Business partners are mandatory in SAP S/4HANA  and customers can no longer be created in transactions such as Transaction XD01., ,B. The business partner approach means we no longer need to think about partner functions such as sold-to party  ship-to party  bill-to party  and payer., ,C. The unified architecture of business partners means one data object can serve multiple roles., ,D. The business partner approach means that SAP S/4HANA conforms to the same architecture as other SAP products in the landscape., ,E. Every SAP user in the system has their own business partner record  thus improving transparency and visibility., , , ,1*3*4, The business partner methodology is the only way to create customers and vendors in SAP S/4HANA. This change brings SAP S/4HANA in line with other SAP applications such as SAP CRM  that already use business partners. Note that some of the functionality around customers remains the same—such as the concepts of partner functions like sold-to  ship-to  etc. Nevertheless  the use of business partners allows a single data object to take on multiple roles in the system. SAP user records are a completely separate data object in SAP S/4HANA., 
Which of the following statements is true about traditional customer master transactions  such as Transactions XD01 and VD01  in SAP S/4HANA:,multi-select,A. Attempting to use the transactions will redirect you to Transaction BP., ,B. Transactions are still available but are not recommended for use., ,C. Transactions have disappeared entirely and will not be recognized if used. Correct Answer:A Explanation: Obsolete transactions related to customer and vendor master records will now redirect you to the unified Transaction BP via a dialog message. As such  the transactions still exist  but only as a pointer to the correct transaction. Question The CVI functionality can be used to perform which of the following activities? A. Set up the system so that all business partner data is stored in the BUT* tables without the need to copy to tables KNA1 and KNVV B. Ensure that  once business partners are created  the data is filtered down to the customer and vendor tables C. Set up a connection between customers and vendors so that any data added to the vendor master data object can be selectively copied to the customer master data object Correct Answer:B Explanation: CVI exists so that there is a permanent link between a business partner and the customer or vendor tables  such as tables KNA1 and LFA1. Once the SAP S/4HANA system is established  business partner data is saved in the BUT* tables  but if the business partner is extended to the role “customer” then the data will be copied to all the customer master tables  such as tables KNA1 and KNVV. Question When converting from SAP ERP 6.0 to SAP S/4HANA  several steps are required in order to convert customers and vendors to business partners. Which of the following steps are required? (There are two correct answers.) A. Implement CVI in your SAP ERP 6.0 system B. Stop all users from creating customers using Transaction XD01 in your SAP ERP 6.0 system using security authorizations C. Convert existing customers and vendors to business partners in your SAP ERP 6.0 system, ,D. Create a Legacy System Migration Workbench (LSMW) migration script to convert the customers and vendors in your SAP ERP 6.0 system to business partners in your SAP S/4HANA system, , , , , ,1*3, Conversion from SAP ERP 6.0 to SAP S/4HANA involves some preparation work in both the source and the target system. In your SAP ERP 6.0 system  you must activate CVI in the direction of customer to business partner and convert all your customers and vendors to business partners. Your users can continue to create customers in the normal way using Transaction XD01.When you’re ready to execute the conversion scripts  your SAP ERP 6.0 system will have business partners already created and ready for conversion., 
Settlement management in SAP S/4HANA replaces SD rebates. What does this mean for the sales data model?,multi-select,A. The SD rebate type field has been extended from 1 character to 3 characters., ,B. Table VBOX is now redundant., ,C. Table VBOX can still be used but must be manually activated. Correct Answer:B Explanation: Within the SD rebates functionality  table VBOX was a real problem for performance  with hundreds of thousands (and in many cases  millions) of data records housed in the table. Due to the power of the SAP HANA database  such index tables are no longer required  and table VBOX is therefore completely redundant in SAP S/4HANA. Question The BRFplus approach to outputs does come with a few limitations. Which of these limitations are true? (There are two correct answers.) A. Only business partners can be used for communication purposes. B. IDocs cannot be used at all by BRFplus. C. ALE is not supported by BRFplus., ,D. BRFplus is only available for sales outputs  and therefore  outputs for POs cannot be used., , , , , ,1*3, Although the BRFplus functionality is quite powerful and flexible  its scope is limited by a number of factors. One factor is the requirement that outputs can only be communicated with business partners (meaning logical systems cannot be used)  and another is that ALE system-to-system connections are not supported by BRFplus. IDocs can be used by BRFplus within these limitations  and outputs for BRFplus can be used for any business scenarios that were previously supported by NAST  including POs., 
